Country,Total Cases,Total Deaths,Total Recovered,Active Cases,Total Cases/1M population,Deaths/1M population,Total Tests,Tests/1M population,Population
Paraguay,466101,16624,447870.0,1607.0,64173,2289,2027738.0,279181.0,7263155
Peru,2287494,202584,,,67966,6019,21656119.0,643445.0,33656496
Philippines,2841260,51373,2778115.0,11772.0,25424,460,25078068.0,224402.0,111755258
Poland,4094608,96415,3614290.0,383903.0,108367,2552,27104556.0,717341.0,37784763
Portugal,1330158,18921,1175217.0,136020.0,131020,1864,25760643.0,2537408.0,10152345
Qatar,249787,617,245348.0,3822.0,88962,220,3168202.0,1128355.0,2807805
Réunion,76602,409,69431.0,6762.0,84658,452,1347378.0,1489077.0,904841
Romania,1807223,58714,1737543.0,10966.0,94886,3083,17051755.0,895285.0,19046177
Russia,10479344,307948,9423227.0,748169.0,71763,2109,240000000.0,1643522.0,146027823
Rwanda,109070,1348,45522.0,62200.0,8121,100,3965214.0,295244.0,13430291
S. Korea,625967,5455,509957.0,110555.0,12194,106,15804065.0,307861.0,51335014
Saint Kitts and Nevis,2918,28,2784.0,106.0,54278,521,58205.0,1082682.0,53760
Saint Lucia,13473,295,12950.0,228.0,72875,1596,107507.0,581499.0,184879
Saint Martin,4008,56,1399.0,2553.0,101087,1412,78366.0,1976494.0,39649
San Marino,7655,98,6725.0,832.0,224902,2879,103193.0,3031789.0,34037
Sao Tome and Principe,3819,57,3678.0,84.0,16957,253,29036.0,128921.0,225223
Saudi Arabia,555417,8875,541614.0,4928.0,15592,249,33134497.0,930172.0,35621922
Senegal,74870,1890,72482.0,498.0,4303,109,917913.0,52751.0,17400828
Serbia,1295198,12665,1260458.0,22075.0,149133,1458,7189047.0,827768.0,8684854
Seychelles,24546,134,23980.0,432.0,247302,1350,,,99255
Sierra Leone,6891,123,,,838,15,259958.0,31630.0,8218637
Singapore,278750,826,275084.0,2840.0,47094,140,21098774.0,3564608.0,5918960
Sint Maarten,5054,75,4653.0,326.0,115912,1720,62056.0,1423237.0,43602
Slovakia,838738,16598,777612.0,44528.0,153514,3038,5085694.0,930834.0,5463588
Slovenia,462152,5583,439653.0,16916.0,222256,2685,2072037.0,996476.0,2079364
Somalia,23532,1333,12948.0,9251.0,1422,81,391308.0,23639.0,16553247
South Africa,3433554,90935,3145543.0,197076.0,56825,1505,21141715.0,349893.0,60423455
South Sudan,15152,135,12789.0,2228.0,1330,12,294645.0,25870.0,11389386
Spain,6133057,89331,5049396.0,994330.0,131099,1910,66213858.0,1415377.0,46781797
Sri Lanka,586746,14962,560313.0,11471.0,27231,694,5726599.0,265770.0,21547178
St. Vincent Grenadines,5850,81,5228.0,541.0,52482,727,93855.0,842006.0,111466
Sudan,46518,3331,38714.0,4473.0,1025,73,562941.0,12407.0,45373938
Suriname,52031,1189,49084.0,1758.0,87525,2000,169283.0,284763.0,594470
Sweden,1314784,15271,1192194.0,107319.0,128986,1498,14931240.0,1464825.0,10193191
Switzerland,1288225,12247,993334.0,282644.0,147242,1400,14141939.0,1616403.0,8749016
Syria,50204,2889,32275.0,15040.0,2769,159,146269.0,8066.0,18133713
Taiwan,16988,850,15871.0,267.0,711,36,9236508.0,386771.0,23881086
Tajikistan,17095,124,16966.0,5.0,1734,13,,,9856698
Tanzania,29306,737,,,471,12,,,62266704
Thailand,2220324,21672,2165253.0,33399.0,31691,309,17270775.0,246510.0,70061267
Timor-Leste,19833,122,19705.0,6.0,14628,90,226255.0,166872.0,1355858
